GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ctf-contest,com.ctf.config,SecurityConfig,156,0,0,0,26,0,7,0,7,0
ctf-contest,com.ctf.config,JwtAuthenticationFilter,85,0,8,0,22,0,8,0,4,0
ctf-contest,com.ctf.config,DatabaseInitializer,792,0,12,0,108,0,14,0,8,0
ctf-contest,com.ctf.entity,Submission,271,26,54,0,6,3,38,7,11,7
ctf-contest,com.ctf.entity,Category,341,0,62,0,10,0,51,0,20,0
ctf-contest,com.ctf.entity,User,427,0,78,0,12,0,63,0,24,0
ctf-contest,com.ctf.entity,ContestConfig,259,0,46,0,9,0,40,0,17,0
ctf-contest,com.ctf.entity,ContestUser,451,21,86,0,9,4,63,6,20,6
ctf-contest,com.ctf.entity,ContestConfig.ContestConfigBuilder,56,0,0,0,1,0,8,0,8,0
ctf-contest,com.ctf.entity,Hint,385,0,70,0,11,0,57,0,22,0
ctf-contest,com.ctf.entity,HintUnlock,211,0,38,0,7,0,33,0,14,0
ctf-contest,com.ctf.entity,Question,535,21,102,0,11,4,75,6,24,6
ctf-contest,com.ctf.dto,ContestStatusResponse,253,0,46,0,8,0,39,0,16,0
ctf-contest,com.ctf.dto,QuestionResponse,421,0,72,0,22,0,59,0,23,0
ctf-contest,com.ctf.dto,LoginRequest,124,0,22,0,5,0,21,0,10,0
ctf-contest,com.ctf.dto,SubmitAnswerRequest,124,0,22,0,5,0,21,0,10,0
ctf-contest,com.ctf.dto,ContestConfigDTO,214,0,38,0,8,0,34,0,15,0
ctf-contest,com.ctf.dto,RankingItem,340,0,62,0,10,0,51,0,20,0
ctf-contest,com.ctf.dto,ContestConfigDTO.ContestConfigDTOBuilder,45,0,0,0,1,0,7,0,7,0
ctf-contest,com.ctf.dto,ApiResponse,199,0,30,0,10,0,31,0,16,0
ctf-contest,com.ctf.dto,LoginResponse.LoginResponseBuilder,72,0,0,0,1,0,10,0,10,0
ctf-contest,com.ctf.dto,LoginResponse,343,0,62,0,11,0,52,0,21,0
ctf-contest,com.ctf.dto.hint,HintDTO,340,0,62,0,10,0,51,0,20,0
ctf-contest,com.ctf.controller,AdminController,495,0,34,0,118,0,42,0,25,0
ctf-contest,com.ctf.controller,ConfigController,82,0,6,0,21,0,8,0,5,0
ctf-contest,com.ctf.controller,AuthController,44,0,4,0,9,0,6,0,4,0
ctf-contest,com.ctf.controller,ContestController,366,0,30,0,91,0,33,0,16,0
ctf-contest,com.ctf.dto.statistics,UserStatisticsDTO,167,0,30,0,6,0,27,0,12,0
ctf-contest,com.ctf.dto.statistics,CategoryStatisticsDTO,253,0,46,0,8,0,39,0,16,0
ctf-contest,com.ctf.dto.statistics,StatisticsDTO,258,0,46,0,8,0,39,0,16,0
ctf-contest,com.ctf.dto.statistics,QuestionStatisticsDTO,296,0,54,0,9,0,45,0,18,0
ctf-contest,com.ctf.dto.statistics,ProgressDistributionDTO,167,0,30,0,6,0,27,0,12,0
ctf-contest,com.ctf.service,ContestService.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
ctf-contest,com.ctf.service,ConfigService,101,0,2,0,30,0,7,0,6,0
ctf-contest,com.ctf.service,ContestService,694,141,65,13,154,30,47,9,14,3
ctf-contest,com.ctf.service,HintService,463,0,38,0,95,0,30,0,11,0
ctf-contest,com.ctf.service,AdminService,425,0,14,0,79,0,23,0,16,0
ctf-contest,com.ctf.service,AuthService,127,0,10,0,28,0,10,0,5,0
ctf-contest,com.ctf.util,ContestTimeUtil,176,7,22,0,42,2,24,1,13,1
ctf-contest,com.ctf.util,ContestTimeUtil.ContestStatus,33,0,0,0,2,0,1,0,1,0
ctf-contest,com.ctf.util,JwtTokenUtil,137,0,0,0,37,0,10,0,10,0
ctf-contest,com.ctf.util,PasswordUtil,21,0,0,0,5,0,4,0,4,0
ctf-contest,com.ctf.util,PasswordGenerator,23,0,0,0,6,0,2,0,2,0
ctf-contest,com.ctf.util,JsonUtil,47,0,0,0,15,0,5,0,5,0
ctf-contest,com.ctf.exception,UnauthorizedException,4,0,0,0,2,0,1,0,1,0
ctf-contest,com.ctf.exception,GlobalExceptionHandler,68,0,0,0,14,0,8,0,8,0
ctf-contest,com.ctf.exception,EntityNotFoundException,4,0,0,0,2,0,1,0,1,0
ctf-contest,com.ctf,CtfContestApplication,8,0,0,0,3,0,2,0,2,0
